repo_fullname,commits_count,commits_days_since_first,commits_days_since_last,commits_total_lines_added,commits_total_lines_removed,commits_avg_added,commits_avg_removed,commits_avg_files_changed,commits_avg_message_length,commits_avg_per_day_real,commits_max_per_day,contributors_count,contributors_top_avg_commits,contributors_top_avg_participation_week,contributors_top_avg_additions,contributors_top_avg_deletions,forks_count,forks_avg_per_day,forks_avg_max_per_day,issues_total_comments,issues_count,issues_open,issues_labels,issues_avg_labels,issues_avg_closing_time,issues_avg_comment_time,issues_avg_comments,issues_avg_comment_length,issues_avg_title_length,issues_avg_body_length,issues_avg_per_day,issues_avg_per_day_real,issues_max_per_day,repo_size,repo_topics,repo_branches,repo_age_days,repo_workflows,repo_languages,repo_milestones,repo_watchers,repo_deployments,repo_readme_length,repo_network_members,pulls_count,pulls_total_lines_added,pulls_total_lines_removed,pulls_avg_lines_added,pulls_avg_lines_removed,pulls_avg_closing_time,pulls_avg_comments,pulls_avg_review_comments,pulls_avg_Commits,pulls_avg_body_length,pulls_avg_title_length,pulls_avg_files_changed,pulls_avg_labels,pulls_avg_created_per_day,pulls_avg_created_per_day_real,pulls_max_created_per_day,releases_count,releases_tags,releases_total_downloads,releases_avg_body_length,releases_avg_title_length,releases_avg_assets,releases_avg_assets_downloads,releases_avg_assets_size,stars_count,stars_avg_per_day_real,stars_max_per_day,wf_count,wf_avg_duration,wf_avg_success_duration,wf_avg_failure_duration,wf_avg_successes_per_day,wf_avg_successes_per_day_real,wf_avg_fails_per_day
Azure/docker-login,28,951,291,28685,27526,1024,983,18,54,2,5,12,1,1,1288,6,32,0,2,78,36,2,9,0,0,0,2,359,36,479,0,1,2,509,0,8,951,3,3,0,84,0,3517,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,784,30,0,0,0,84,1,3,10,0.0608171296296296,0.0607951388888889,2.19907407407407E-05,0,7,0
Azure/azure-functions-java-library,105,1429,5,11949,3705,114,35,6,66,2,6,13,6,3,85,50,32,0,2,345,170,45,31,0,0,0,2,299,43,624,0,1,8,205,0,27,1429,0,3,13,31,0,11669,33,2,13,7,6,3,0,2,0,1,328,69,1,0,0,1,1,15,15,0,1121,39,0,0,0,31,1,2,0,0,0,0,0,0,0
Azure/hpcpack,45,886,55,2459,936,55,21,1,28,2,7,5,8,4,70,37,5,0,1,23,21,15,11,0,0,0,1,372,41,7242,0,1,5,309,0,2,886,0,0,0,18,0,7384,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,1,0,0,0,0,0,0,0
MicrosoftDocs/MicrosoftCollaboratePortal,565,19095,46,7144,4286,13,8,1,35,5,32,22,22,3,10,6,30,0,1,310,184,0,12,0,0,0,1,1722,30,125,0,1,10,1867,0,6,1685,0,1,0,11,0,728,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0
Azure-Samples/network-java-use-network-watcher-to-check-connectivity,24,1650,133,7114,3118,296,130,2,19,1,2,9,2,2,377,211,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,2,1658,0,1,0,1,0,2625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,324,0,81,1,36,32132,1,1,1,0,0,0,0,0,0,0
MicrosoftDocs/mslearn-secure-and-isolate-with-nsg-and-service-endpoints,6,1100,1100,781,0,130,0,1,26,6,6,3,1,1,155,0,6,0,1,0,1,0,0,0,0,0,0,0,21,0,0,1,1,13,0,1,1100,0,0,0,3,0,2082,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0
Azure-Samples/aks-java-deploy-image-from-acr-to-kubernetes,21,1607,133,6584,1549,314,74,3,16,1,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,2,1611,0,1,0,1,0,2872,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,300,0,87,1,100,42109,1,1,1,0,0,0,0,0,0,0
MicrosoftDocs/OfficeDocs-CustomLearning-pr.zh-TW,104,1345,36,13083,7275,126,70,8,26,1,4,0,0,0,0,0,2,0,1,2,2,2,0,0,0,0,1,1569,123,29,0,2,2,66439,0,7,1345,0,1,0,2,0,1996,2,2,11,8,5,4,0,1,0,1,29,123,1,0,0,1,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
SQAPractical/GitHubTest,61,1003,965,5146,2018,84,33,4,35,20,55,11,1,1,205,47,0,0,0,0,31,20,0,0,0,0,0,0,9,4,0,10,29,15252,0,45,1003,0,2,0,0,0,1843,0,20,1678,2342,83,117,0,0,0,4,7,8,7,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AgileVentures/sfn-client,845,1611,717,139809,71347,165,84,5,69,5,28,0,0,0,0,0,20,0,2,323,515,36,544,1,0,0,0,198,36,775,0,2,17,12652,0,51,1611,0,5,0,9,0,16093,20,21,946,395,45,18,0,0,0,1,4659,34,1,0,0,1,2,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,0,0,0
