repo_fullname,commits_count,commits_days_since_first,commits_days_since_last,commits_total_lines_added,commits_total_lines_removed,commits_avg_added,commits_avg_removed,commits_avg_files_changed,commits_avg_message_length,commits_avg_per_day_real,commits_max_per_day,contributors_count,contributors_top_avg_commits,contributors_top_avg_participation_week,contributors_top_avg_additions,contributors_top_avg_deletions,forks_count,forks_avg_per_day,forks_avg_max_per_day,issues_total_comments,issues_count,issues_open,issues_labels,issues_avg_labels,issues_avg_closing_time,issues_avg_comment_time,issues_avg_comments,issues_avg_comment_length,issues_avg_title_length,issues_avg_body_length,issues_avg_per_day,issues_avg_per_day_real,issues_max_per_day,repo_size,repo_topics,repo_branches,repo_age_days,repo_workflows,repo_languages,repo_milestones,repo_watchers,repo_deployments,repo_readme_length,repo_network_members,pulls_count,pulls_total_lines_added,pulls_total_lines_removed,pulls_avg_lines_added,pulls_avg_lines_removed,pulls_avg_closing_time,pulls_avg_comments,pulls_avg_review_comments,pulls_avg_Commits,pulls_avg_body_length,pulls_avg_title_length,pulls_avg_files_changed,pulls_avg_labels,pulls_avg_created_per_day,pulls_avg_created_per_day_real,pulls_max_created_per_day,releases_count,releases_tags,releases_total_downloads,releases_avg_body_length,releases_avg_title_length,releases_avg_assets,releases_avg_assets_downloads,releases_avg_assets_size,stars_count,stars_avg_per_day_real,stars_max_per_day,wf_count,wf_avg_duration,wf_avg_success_duration,wf_avg_failure_duration,wf_avg_successes_per_day,wf_avg_successes_per_day_real,wf_avg_fails_per_day
Azure/doAzureParallel,84,1581,321,5967,2472,71,29,4,191,1,4,16,11,6,128,65,0,0,0,200,0,0,0,0,0,0,0,359,0,0,0,0,0,645,7,16,1876,0,4,0,105,0,7032,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,1074,5,0,0,0,0,0,0,0,0,0,0,0,0,0
MicrosoftDocs/OfficeDocs-MicrosoftSearch-pr.ja-JP,1,3,3,22,19,22,19,3,26,1,1,0,0,0,0,0,4,0,1,16,0,0,0,0,0,0,0,769,0,0,0,0,0,14015,0,6,1173,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
Azure-Samples/compute-java-manage-availability-sets,1,125,125,213,133,213,133,4,14,1,1,13,2,2,300,196,2,0,1,10,0,0,0,0,0,0,0,32,0,0,0,0,0,117,0,2,2121,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MicrosoftDocs/testint25061414,1,1015,1015,6,0,6,0,3,93,1,1,1,2,1,276,0,2,0,1,2,0,0,0,0,0,0,0,1323,0,0,0,0,0,11,0,4,1015,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
OfficeDev/O365-EDU-Tools,1,4,4,144,51,144,51,1,147,1,1,0,0,0,0,0,100,0,5,48,0,0,0,0,0,0,0,169,0,0,0,0,0,1316,0,18,2003,0,2,0,146,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,1,3,0,0,0,0,0,0,0
servicecatalog/documentation,1,6,6,0,0,0,0,13,17,1,1,5,73,35,304,95,6,0,1,9,0,0,0,0,0,0,0,130,0,0,0,0,0,448550,0,17,2377,0,4,0,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,0,0,0
Azure-Samples/container-service-dotnet-continuous-integration-multi-container,1,1967,1967,0,3,0,3,1,13,1,1,1,4,1,83,1,97,0,3,4,0,0,0,0,0,0,0,291,0,0,0,0,0,5,0,1,1968,0,4,0,21,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,1,0,0,0,0,0,0,0
Azure-Samples/php-docs-hello-world,1,903,903,1,1,1,1,1,16,1,1,7,1,1,6,0,100,0,3,3,0,0,0,0,0,0,0,575,0,0,0,0,0,5,0,1,1831,0,1,0,24,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,1,0,0,0,0,0,0,0
microsoft/jericho,1,127,127,1,1,1,1,1,133,1,1,11,20,7,301,17,29,0,3,192,0,0,0,0,0,0,0,810,0,0,0,0,0,1875,3,3,1281,0,11,0,195,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
microsoftgraph/microsoft-graph-docs.zh-CN,1,21,21,8,8,8,8,1,26,1,1,0,0,0,0,0,6,0,2,8,0,0,0,0,0,0,0,240,0,0,0,0,0,479631,0,4,1837,0,1,0,15,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,0,0,0,0,0,0,0
microsoft/powerbi-visuals-image-comparison-tests-P2W,1,1517,1517,0,0,0,0,0,34,1,1,5,6,3,38,13,9,0,1,2,0,0,0,0,0,0,0,158,0,0,0,0,0,3379,0,1,1651,0,2,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0
maltez/JavaScriptCourse,1,1198,1198,454,0,454,0,18,62,1,1,25,5,2,47,6,15,0,2,5,0,0,0,0,0,0,0,29,0,0,0,0,0,16320,0,100,1447,0,2,0,13,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,3,0,0,0,0,0,0,0
MicrosoftDocs/vs-tutorial-samples,1,627,627,93,35,93,35,1,100,1,1,4,2,1,107,23,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,3,1225,0,1,0,9,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azure/dotnet-template-azure-iot-edge-module-visual-studio,1,1211,1211,1,2,1,2,2,35,1,1,3,2,1,95,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,4,1273,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
StalnoyKapibar/HIB,1,495,495,1,1,1,1,1,45,1,1,37,36,5,84,44,5,0,1,26,0,0,0,0,0,0,0,103,0,0,0,0,0,16341,0,100,776,0,6,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0
reprograma/On2-carreira,1,837,837,347,0,347,0,2,75,1,1,25,1,1,339,36,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3274,0,4,855,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azure/ccme,1,903,903,15,66,15,66,3,38,1,1,3,2,1,20492,11,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77635,0,2,1332,0,6,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Azure/azure-service-bus-java,1,791,791,4,4,4,4,4,116,1,1,8,21,11,398,261,0,0,0,200,0,0,0,0,0,0,0,348,0,0,0,0,0,1570,6,10,1973,0,1,0,57,0,2723,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,374,9,0,0,0,0,0,0,0,0,0,0,0,0,0
rtCamp/rtsyntax,1,1440,1440,1355,1986,1355,1986,31,75,1,1,8,2,1,76,104,6,0,2,4,0,0,0,0,0,0,0,118,0,0,0,0,0,312,0,5,3499,0,5,0,11,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,6,0,0,0,0,0,0,0
Azure/terraform-azurerm-mariadb,1,1037,1037,14,0,14,0,1,14,1,1,2,1,1,14,0,4,0,2,3,0,0,0,0,0,0,0,86,0,0,0,0,0,2,0,1,1037,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
predixdesignsystem/px-deck-selector,1,1136,1136,15,0,15,0,1,23,1,1,16,6,4,328,69,5,0,1,19,0,0,0,0,0,0,0,174,0,0,0,0,0,2019,1,6,2385,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FrancoisBrucker/cours_informatique,1,0,0,1,0,1,0,1,4,1,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50244,0,28,574,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.027974537037037,0.027034143518519,0.000940393518519,0,5,0
Azure-Samples/storage-queue-php-getting-started,1,2072,2072,10,10,10,10,1,30,1,1,1,1,1,10,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,2081,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pytorch/text,1,3,3,36,72,36,72,3,68,1,1,98,9,3,205,65,100,0,4,200,0,0,0,0,0,0,0,301,0,0,0,0,0,29994,5,47,1944,0,5,0,2985,0,0,703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,3093,31,0,0,0,0,0,0,0,0,0,0,0,0,0
chrisvfritz/tc359_cheatsheets,191,2623,2593,8244,603,43,3,2,42,15,60,35,3,1,25,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824,0,1,2623,0,0,0,2,0,848,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
MicrosoftDocs/pipelines-xamarin,14,1315,476,5345,2846,382,203,21,55,5,9,4,3,1,428,250,122,0,3,1,3,1,0,0,0,0,0,54,50,515,0,1,1,1238,0,1,1315,0,1,0,23,0,2052,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,1,0,0,0,0,0,0,0
EkamWalia/Winter-Web-17,13,1587,1576,75,75,6,6,1,20,3,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,0,0,1,1,59316,0,25,1587,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0
oVirt/otopi,527,3464,36,25510,8626,48,16,3,217,2,8,14,36,16,50,18,9,0,1,8,18,0,1,0,0,0,0,464,33,164,0,1,5,976,0,12,3417,2,7,1,9,0,2564,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,824,12,1,2,327710,9,1,1,4,0.07029224537037,0.066594328703704,0.003697916666667,0,3,0
MrMusovic/MarvelWebsite,6,698,654,423,43,71,7,6,26,2,4,3,1,1,84,8,5,0,2,1,1,0,0,0,0,0,1,14,9,127,0,1,1,1772,0,2,698,0,3,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azure-Samples/service-fabric-watchdog-service,30,1838,163,18708,9008,624,300,10,79,2,9,10,1,1,44,22,23,0,1,19,16,6,8,0,0,0,1,221,49,1658,0,1,2,522,0,6,1838,0,2,1,48,0,17664,23,4,4,4,1,1,0,0,0,1,5322,65,1,1,0,1,2,2,2,388,0,36,1,194,500061,48,1,2,0,0,0,0,0,0,0
ardhiesta/kuliah_open_source_2019,64,1110,1023,4563,523,71,8,1,37,11,32,0,0,0,0,0,5,0,2,0,32,1,0,0,0,0,0,0,15,88,0,6,15,95,0,31,1110,0,0,0,0,0,227,5,1,25,0,25,0,0,0,0,1,2834,15,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jenspalmqvist/CSharpGit,210,220,215,1549,302,7,1,1,21,70,206,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,13,2,0,2,2,72,0,19,220,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,15,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nameishemanthB/Actitime,10,666,618,6024,3924,602,392,16,38,3,7,2,2,1,511,490,4,0,2,1,10,6,0,0,0,0,0,31,24,72,0,2,5,52040,0,17,661,0,5,0,0,0,0,4,6,2788,235,464,39,0,0,0,1,52,24,22,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MicrosoftDocs/dynamics365smb-docs-pr.es-mx,219,1831,2,316494,233906,1445,1068,60,35,1,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41492,0,6,1831,1,1,0,2,0,748,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
elingenieroprofe/proyectocefit,3,598,507,17,0,6,0,2,26,2,2,1,1,1,1,0,3,0,1,0,2,1,0,0,0,0,0,0,8,3,0,2,2,13,0,31,598,0,2,0,0,0,16,3,1,4,0,4,0,0,0,0,4,7,5,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
predixdesignsystem/px-functions-design,61,2390,1140,20734,1315,340,22,3,36,1,4,10,3,2,541,30,4,0,1,8,2,0,0,0,0,0,4,538,44,1615,0,1,1,1794,1,3,2390,0,4,0,0,22,2896,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,54,15,0,0,0,0,0,0,0,0,0,0,0,0,0
spacetelescope/refstis,233,3295,103,40735,31729,175,136,3,62,3,20,6,19,6,245,220,3,0,1,14,15,7,3,0,0,0,0,452,27,229,0,1,3,728,5,2,2399,1,1,0,3,0,1074,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,0.001510416666667,0.001510416666667,0,0,4,0
projbdicdm/bdic-dm,213,2627,2431,1463758,105381,6872,495,24,61,4,35,12,12,4,7098,558,14,0,2,2,12,1,0,0,0,0,0,47,27,4,0,1,3,77557,0,3,2568,0,8,0,3,0,393,16,1,297,1,297,1,0,0,0,3,0,18,2,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0
spacetelescope/stistools,254,5660,2,187272,154420,737,608,4,186,2,12,17,11,6,896,802,19,0,4,106,141,37,29,0,0,0,0,172,33,180,0,1,8,22722,4,25,2243,1,1,0,6,0,1413,20,6,1588,374,264,62,0,1,0,3,192,38,3,0,0,1,1,5,5,0,96,8,0,0,0,6,1,1,2,0.002251157407407,0.001197916666667,0.001053240740741,0,1,0
MicrosoftDocs/azure-docs-sdk-python.ru-RU,115,1697,977,1076040,981477,9357,8535,14,26,1,4,7,16,10,9438,8607,2,0,1,5,2,0,3,1,0,0,2,339,15,71,0,1,1,5306,0,5,1697,0,2,0,3,0,1047,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0
Azure/vm-scale-sets,218,1881,314,16364,1664,75,8,2,42,3,25,14,14,3,54,10,18,0,1,160,73,26,15,0,0,0,2,487,60,777,0,1,4,590,0,6,1881,1,5,0,22,0,1460,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,1,2,0.00015625,0,0.00015625,0,0,0
MicrosoftDocs/intellisense-loc,13,913,892,176413,2146,13570,165,2,25,2,6,2,5,2,15849,195,2,0,1,0,1,0,0,0,0,0,0,0,16,0,0,1,1,49155,0,7,913,0,0,0,3,0,2100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0
fezaoduke/zaoduhui,574,2053,1798,610339,536215,1063,934,5,19,5,29,25,11,3,1684,1627,13,0,1,0,15,1,0,0,0,0,0,0,15,149,0,1,3,9975,0,5,2053,0,5,0,23,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,2,0,0,0,0,0,0,0
githubteacher/everyone-july-2-2015,239,2475,2474,805,139,3,1,1,53,120,238,0,0,0,0,0,8,0,7,237,191,62,41,0,0,0,1,29,25,36,0,47,187,2423,0,79,2475,0,0,1,2,0,438,8,11,588,7,53,0,0,0,0,43,5,22,10,0,0,1,11,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0
MicrosoftDocs/azure-docs-sdk-python.zh-TW,116,1697,977,1076074,981511,9277,8461,14,26,1,4,7,16,10,9357,8532,2,0,1,1,1,0,0,0,0,0,1,805,14,0,0,1,1,5287,0,4,1697,0,2,0,2,0,719,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
MicrosoftDocs/OfficeDocs-CustomLearning-pr.es-ES,109,1342,33,13686,7878,126,72,8,26,1,4,0,0,0,0,0,2,0,1,2,2,2,0,0,0,0,1,1575,123,29,0,2,2,67372,0,7,1342,0,1,0,2,0,2625,2,2,11,8,5,4,0,1,0,1,29,123,1,0,0,1,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
Azure-Samples/App-Service-Troubleshoot-Azure-Monitor,9,772,772,640,24,71,3,5,21,9,9,2,4,1,77,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51559,0,1,772,0,3,0,0,0,3140,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,98,0,25,1,49,52789704,0,0,0,0,0,0,0,0,0,0
MicrosoftDocs/curtcu-samples,13,795,151,767,99,59,8,2,35,2,4,2,6,1,59,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,2,795,0,2,0,2,0,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
doubleencore/android-times-square,147,3407,3034,9559,4289,65,29,4,61,3,11,12,3,1,24,13,0,0,0,0,1,0,0,0,0,0,0,0,25,0,0,1,1,1442,0,6,3126,0,3,0,0,0,2481,1209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azure-Samples/azure-cosmos-db-cassandra-dotnet-getting-started,14,1615,943,851,167,61,12,2,24,2,7,4,3,1,64,12,1,0,1,2,1,0,0,0,0,0,2,47,70,1253,0,1,1,39,0,1,1615,0,1,0,8,0,2206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,312,0,64,1,312,22680,8,1,1,0,0,0,0,0,0,0
Azure/azure_preview_modules,432,1581,51,173521,70667,402,164,10,52,4,30,13,5,4,1330,579,50,0,2,947,399,38,0,0,0,0,2,254,46,453,0,1,5,2160,5,42,1581,0,2,0,43,0,4270,52,4,4,4,1,1,0,3,0,1,728,37,1,0,0,1,1,1,1,0,0,24,0,0,0,43,1,2,0,0,0,0,0,0,0
oVirt/ovirt-image-uploader,82,3780,2049,15258,1507,186,18,2,273,1,4,8,7,6,40,20,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,7,3453,0,6,0,2,0,252,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
rambler-digital-solutions/fish0,126,2197,1774,6412,1057,51,8,5,63,5,16,3,20,5,32,7,3,0,1,6,15,1,0,0,0,0,0,80,32,15,0,1,3,85,0,3,2197,0,4,0,7,0,3718,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0
camillacleanne/miniMaratonaDesafioGit,29,606,593,2790,1435,96,49,2,39,10,26,17,1,1,71,39,0,0,0,0,2,0,0,0,0,0,0,0,14,0,0,2,2,31,0,21,606,0,1,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
MicrosoftDocs/powerapps_script_test-pr.pt-pt,5,1153,144,46334,17224,9267,3445,99,45,3,4,2,2,1,9266,3444,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,0,2,1153,0,1,0,1,0,373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Azure-Samples/app-service-java-cosmosdb-mongodb-apis,9,942,900,1914,28,213,3,4,14,5,8,3,3,1,212,3,1,0,1,0,1,1,1,1,0,0,0,0,61,9984,0,1,1,29,0,2,942,0,1,0,1,0,5062,1,1,1,1,1,1,0,0,0,1,9984,61,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Azure-Samples/iot-hub-dotnet-uwp-remote-monitoring,22,2265,1801,34453,19743,1566,897,5,32,2,4,2,10,3,1640,891,3,0,1,2,2,0,1,0,0,0,1,27,28,336,0,1,1,2681,0,1,2265,0,1,0,6,0,5924,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0
Azure-Samples/aad-java-manage-passwords,9,1763,929,3987,430,443,48,2,14,2,3,7,1,1,443,47,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,1,1763,0,1,0,0,0,1656,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,290,0,79,1,290,30649,0,0,0,0,0,0,0,0,0,0
the-Coding-Boot-Camp-at-UT/UTA-VIRT-BO-FSF-PT-12-2021-U-B,26,118,2,138992,1133,5346,44,73,113,1,2,1,26,14,5347,45,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89626,0,1,299,0,4,0,14,0,86,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,4,0,0,0,0,0,0,0
Azure-Samples/azure-mobile-apps-android-quickstart,4,1838,1833,1240,0,310,0,7,14,2,3,2,1,1,21,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,1,1838,0,1,0,2,0,352,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
Azure-Samples/azure-cosmos-db-cassandra-dotnet-core-getting-started,10,776,775,1184,379,118,38,3,45,5,9,2,4,1,76,39,4,0,1,1,1,0,0,0,0,0,1,9,60,0,0,1,1,34,0,1,776,0,1,0,0,0,3595,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MicrosoftDocs/mslearn-xamarin-forms-design-patterns,11,1087,1013,45734,17,4158,2,60,26,3,6,5,2,1,6783,2223,7,0,1,0,2,1,0,0,0,0,0,0,25,319,0,1,1,415,0,1,1087,0,1,0,9,0,2358,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2,0,0,0,0,0,0,0
Azure-Samples/app-service-dotnet-configure-deployment-sources-for-functions,28,1825,447,55812,20010,1993,715,7,24,1,3,11,2,2,1993,714,1,0,1,0,2,2,1,0,0,0,0,0,71,1406,0,1,1,28197,0,2,1825,0,7,0,4,0,1733,1,1,1,1,1,1,0,0,0,1,2192,75,1,1,0,1,1,4,4,280,0,70,1,70,28314115,4,1,1,0,0,0,0,0,0,0
Azure/Ignite2019_IaC_pre-day_docs,151,915,724,17896,5030,119,33,5,34,7,37,5,13,2,71,23,13,0,5,1,15,1,0,0,0,0,0,198,13,0,0,3,6,29673,0,2,915,0,3,0,12,0,3686,13,1,10,10,10,10,0,1,0,1,0,65,1,0,0,1,1,0,0,0,0,0,0,0,0,12,1,5,0,0,0,0,0,0,0
CMU-Robotics-Club/RobOrchestra,538,3074,128,597022,291887,1110,543,9,82,3,16,25,14,7,1453,1216,15,0,1,0,22,0,1,0,0,0,0,0,29,85,0,2,8,337175,0,10,3074,0,6,0,11,0,1699,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,2,0,0,0,0,0,0,0
milanifard/Ontirandoc,512,1317,372,475410,62068,929,121,5,39,9,75,37,11,1,124,68,10,0,2,6,14,11,9,0,0,0,0,177,39,247,0,1,4,29215,0,6,1317,0,7,0,5,357,11130,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0
cmtl0204/siga_backend,265,396,336,83984,72200,317,272,20,26,7,41,8,21,3,279,189,7,0,2,0,12,1,0,0,0,0,0,0,23,0,0,1,4,131022,0,61,396,0,3,0,2,0,4101,7,1,1937,206,1937,206,0,0,0,12,0,19,48,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
wjaneal/liastem,86,2000,1845,321148,150760,3734,1753,22,39,3,16,14,3,1,3302,117,3,0,1,0,3,1,0,0,0,0,0,0,21,6,0,1,1,287787,0,2,2000,0,4,0,7,0,0,3,1,60,0,60,0,0,0,0,3,19,6,119,0,0,1,1,0,0,0,0,0,0,0,0,7,1,3,0,0,0,0,0,0,0
yichousun/Winter2021_CS249_GNN,661,461,378,76925,1563,116,2,1,19,15,94,37,9,2,115,10,11,0,3,5,6,3,0,0,0,0,0,133,17,77,0,1,2,90748,0,1,461,0,3,0,47,0,2694,11,1,13,1,13,1,0,0,0,2,0,16,1,0,0,1,1,0,0,0,0,0,0,0,0,47,1,12,0,0,0,0,0,0,0
dfrc-korea/carpe,707,1159,125,435894,105830,617,150,8,31,5,32,19,13,4,832,301,21,0,2,2,63,8,8,0,0,0,0,194,19,879,0,1,4,58464,0,10,1159,0,6,0,44,0,1837,21,6,6,6,1,1,0,0,0,1,7252,31,1,1,0,1,1,3,3,39,16,14,0,39,67655783,44,1,2,0,0,0,0,0,0,0
wjaneal/liastem,86,2000,1845,321148,150760,3734,1753,22,39,3,16,14,3,1,3302,117,3,0,1,0,3,1,0,0,0,0,0,0,21,6,0,1,1,287787,0,2,2000,0,4,0,7,0,0,3,1,60,0,60,0,0,0,0,3,19,6,119,0,0,1,1,0,0,0,0,0,0,0,0,7,1,3,0,0,0,0,0,0,0
microsoft/PowerBI-visuals-outliers-det,5,1519,1435,3222,468,644,94,10,38,2,3,3,1,1,644,93,11,0,1,0,4,2,0,0,0,0,0,0,30,88,0,1,1,3146,0,2,1519,0,3,0,12,0,3721,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,0,0,0,0,0,0,0
Jirawat-rackz/web_cesca_playground,135,346,343,532527,286,3945,2,8,23,34,56,39,2,1,3074,4,0,0,0,0,4,0,0,0,0,0,0,0,13,0,0,2,3,112253,0,48,347,0,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
